customer_id,customer_name,phone_number,email,registered_pincode,registered_city,registered_state,signup_date,acquisition_channel
CUST000001,Vivaan Pillai,6960013389,saanvi.sheikh666@outlook.com,781075,Guwahati,Assam,2025-10-10,Unknown
CUST000002,Neha Kumar,Check Number,ayesha.gupta566@rediffmail.com,600079,Chennai,Tamil Nadu,2025-02-18,Unknown
CUST000003,Tanvi Nair,7164752553,simran.malhotra700@gmail.com,110021,New Delhi,Delhi,2025-12-17,Organic Search
CUST000004,Simran Joshi,6305641395,N/A,282017,Agra,Uttar Pradesh,2024-04-17,Unknown
CUST000005,Anil Banerjee,7871012269,ayesha.shah480@rediffmail.com,474001,Gwalior,Madhya Pradesh,2024-11-20,Unknown
CUST000006,Pooja Yadav,8828148932,ananya.joshi977@gmail.com,700XX2,Kolkata,West Bengal,2025-10-10,Facebook Ads
CUST000007,Rajesh Gupta,7278248963,amit.pillai707@yahoo.com,422051,Nashik,Maharashtra,2025-05-31,WhatsApp Reseller
CUST000008,Myra Nair,7010310518,tanvi.chauhan220@yahoo.com,641073,Coimbatore,Tamil Nadu,2025-10-01,Organic Search
CUST000009,Reyansh Ansari,9010651333,ishaan.yadav188@rediffmail.com,313009,Udaipur,Rajasthan,2025-10-28,Referral
CUST000010,Rekha Rao,7267736026,ayesha.iyer949@outlook.com,422089,Nashik,Maharashtra,2024-04-05,Unknown
CUST000011,Saanvi Das,Check Number,sai.bhatt191@gmail.com,506086,Warangal,Telangana,2025-08-27,Facebook Ads
CUST000012,Aditya Shah,8435346247,amit.malhotra75@gmail.com,474072,Gwalior,Madhya Pradesh,2024-06-03,Facebook Ads
CUST000013,Myra Mukherjee,8980841241,jaspreet.joshi160@rediffmail.com,734026,Siliguri,West Bengal,2025-11-23,Instagram Ads
CUST000014,Priya Agarwal,Missing,N/A,380042,Ahmedabad,Gujarat,2024-09-19,Facebook Ads
CUST000015,Gurpreet Yadav,7805982620,aditya.agarwal367@yahoo.com,641085,Coimbatore,Tamil Nadu,2024-07-17,WhatsApp Reseller
CUST000016,Ananya Naidu,6256342160,kiara.reddy837@outlook.com,143029,Amritsar,Punjab,2025-06-04,Instagram Ads
CUST000017,Arjun Menon,8014294019,harpreet.naidu322@outlook.com,282065,Agra,Uttar Pradesh,2023-08-31,Instagram Ads
CUST000018,Ramesh Sharma,7561595148,suresh.chatterjee413@rediffmail.com,440024,Nagpur,Maharashtra,2024-02-07,Unknown
CUST000019,Rajesh Das,8436995777,lakshmi.chauhan813@yahoo.com,342036,Jodhpur,Rajasthan,2024-05-12,Referral
CUST000020,Sneha Nair,6379176936,myra.kumar672@gmail.com,201098,Ghaziabad,Uttar Pradesh,2024-03-15,Facebook Ads
CUST000021,Deepak Verma,6727889579,lakshmi.yadav851@outlook.com,695095,Thiruvananthapuram,Kerala,2024-08-20,Unknown
CUST000022,Sandeep Rathore,9143455812,N/A,282052,Agra,Uttar Pradesh,2023-12-10,Facebook Ads
CUST000023,Sandeep Desai,Missing,N/A,580045,Hubli,Karnataka,2024-12-30,WhatsApp Reseller
CUST000024,Sunil Agarwal,6656272980,N/A,360054,Rajkot,Gujarat,2023-11-05,Instagram Ads
CUST000025,Aadhya Mishra,9464170805,arjun.menon981@gmail.com,560031,Bengaluru,Karnataka,2025-03-03,Organic Search
CUST000026,Rajesh Reddy,8299124190,rajesh.ansari930@outlook.com,831091,Jamshedpur,Jharkhand,2025-10-07,Facebook Ads
CUST000027,Sandeep Das,6905865185,suresh.rao502@gmail.com,121046,Faridabad,Haryana,2024-02-19,Facebook Ads
CUST000028,Harpreet Rathore,9769453147,deepak.desai625@outlook.com,600063,Chennai,Tamil Nadu,2025-08-05,Instagram Ads
CUST000029,Neha Agarwal,6831367837,N/A,221028,Varanasi,Uttar Pradesh,2025-02-18,WhatsApp Reseller
CUST000030,Manoj Rathore,8574443135,N/A,713094,Asansol,West Bengal,2024-10-05,WhatsApp Reseller
CUST000031,Saanvi Das,Missing,rekha.kumar281@gmail.com,800070,Patna,Bihar,2025-10-22,Organic Search
CUST000032,Aarav Desai,6471167190,N/A,121097,Faridabad,Haryana,2023-08-23,Facebook Ads
CUST000033,Vikas Malhotra,9499091334,N/A,395052,Surat,Gujarat,2025-01-08,Referral
CUST000034,Gurpreet Das,7493618324,arjun.verma170@rediffmail.com,208072,Kanpur,Uttar Pradesh,2025-04-12,Unknown
CUST000035,Ravi Iyer,Check Number,rajesh.desai974@gmail.com,823086,Gaya,Bihar,2024-02-16,Organic Search
CUST000036,Vikas Malhotra,9175655125,geeta.das679@outlook.com,39507,Surat,Gujarat,2024-04-05,Organic Search
CUST000037,Aarav Ansari,6385977034,N/A,380080,Ahmedabad,Gujarat,2023-10-11,Instagram Ads
CUST000038,Manoj Yadav,9127484677,manoj.kumar393@yahoo.com,462065,Bhopal,Madhya Pradesh,2026-01-18,Instagram Ads
CUST000039,Aarav Das,9278755886,mohammed.bhatt194@yahoo.com,380029,Ahmedabad,Gujarat,2025-05-04,Unknown
CUST000040,Ayesha Banerjee,7702895171,deepak.sharma740@yahoo.com,500083, Hyderabad ,Telangana,2024-02-10,Instagram Ads
CUST000041,Ravi Khan,9578091343,ramesh.singh779@gmail.com,753088,Cuttack,Odisha,2024-02-23,Instagram Ads
CUST000042,Ramesh Kumar,7221969379,deepak.khan261@outlook.com,734001,Siliguri,West Bengal,2025-01-14,Unknown
CUST000043,Arjun Mishra,8647436713,N/A,360084,Rajkot,Gujarat,2025-08-24,Referral
CUST000044,Geeta Rao,7953394210,vikas.verma594@rediffmail.com,751011,Bhubaneswar,Odisha,2023-12-31,Facebook Ads
CUST000045,Rekha Agarwal,8247451712,kiara.bhatt693@outlook.com,313071,Udaipur,Rajasthan,2025-09-19,Instagram Ads
CUST000046,Deepak Mukherjee,9513709859,arjun.khan844@outlook.com,360038,Rajkot,Gujarat,2025-09-28,Instagram Ads
CUST000047,Reyansh Nair,9586926179,N/A,506056,Warangal,Telangana,2025-10-06,Unknown
CUST000048,Isha Mukherjee,9139005329,amit.joshi213@yahoo.com,713029,Asansol,West Bengal,2024-07-24,Instagram Ads
CUST000049,Rekha Iyer,6205395024,jaspreet.yadav539@gmail.com,143060,Amritsar,Punjab,2025-09-21,Referral
CUST000050,Kiara Shah,8700766177,N/A,641035,Coimbatore,Tamil Nadu,2024-09-04,Instagram Ads
CUST000051,Kavita Das,6183673657,harpreet.singh321@outlook.com,560032,Bengaluru,Karnataka,2024-05-31,Referral
CUST000052,Sai Gupta,8280988516,tanvi.menon434@gmail.com,122076,Gurugram,Haryana,2023-10-04,Unknown
CUST000053,Reyansh Mukherjee,8936899809,simran.iyer30@yahoo.com,500097,Hyderabad,Telangana,2025-06-17,Facebook Ads
CUST000054,Tanvi Banerjee,6836675254,sandeep.desai611@gmail.com,143019,Amritsar,Punjab,2024-07-02,Referral
CUST000055,Tanvi Yadav,8381561497,sneha.verma226@outlook.com,28200,Agra,Uttar Pradesh,2024-11-05,Instagram Ads
CUST000056,Krishna Sharma,7683885160,deepak.malhotra80@rediffmail.com,800073,Patna,Bihar,2025-03-03,Referral
CUST000057,Mohammed Patel,8161369681,sneha.pillai348@yahoo.com,570021,Mysuru,Karnataka,2026-01-11,WhatsApp Reseller
CUST000058,Farhan Mukherjee,7312432921,sandeep.khan506@outlook.com,313097,Udaipur,Rajasthan,2023-11-30,Unknown
CUST000059,Mohammed Bhatt,9177449058,deepak.mishra39@gmail.com,781036,Guwahati,Assam,2024-05-03,WhatsApp Reseller
CUST000060,Ayesha Mishra,6793597820,N/A,751090,Bhubaneswar,Odisha,2024-08-31,WhatsApp Reseller
CUST000061,Zoya Malhotra,6515186449,imran.gupta597@yahoo.com,302039,Jaipur,Rajasthan,2025-01-25,Facebook Ads
CUST000062,Sai Das,8281685054,N/A,751017,Bhubaneswar,Odisha,2024-02-07,WhatsApp Reseller
CUST000063,Jaspreet Agarwal,7962229270,riya.pillai244@outlook.com,360096,Rajkot,Gujarat,2023-09-30,Facebook Ads
CUST000064,Sunita Agarwal,9746886239,priya.verma657@outlook.com,823070,Gaya,Bihar,2023-10-27,Referral
CUST000065,Amit Patel,9137506068,N/A,800012,Patna,Bihar,2025-11-08,Facebook Ads
CUST000066,Sunita Sheikh,9790104328,sunil.rathore434@gmail.com,440030,Nagpur,Maharashtra,2025-04-14,Organic Search
CUST000067,Geeta Shah,7246095396,N/A,110067,New Delhi,Delhi,2025-10-11,WhatsApp Reseller
CUST000068,Sunita Verma,8051531952,rekha.chatterjee834@yahoo.com,411087,Pune,Maharashtra,2024-12-29,Facebook Ads
CUST000069,Gurpreet Menon,Missing,saanvi.verma811@yahoo.com,141040,Ludhiana,Punjab,2025-11-29,Organic Search
CUST000070,Amit Khan,8415667652,geeta.mukherjee947@rediffmail.com,221093,Varanasi,Uttar Pradesh,2025-12-26,WhatsApp Reseller
CUST000071,Reyansh Gupta,Check Number,N/A,800081,Patna,Bihar,2025-03-10,Unknown
CUST000072,Rohit Bhatt,6213556909,vikas.mukherjee381@outlook.com,302073,Jaipur,Rajasthan,2026-01-01,Unknown
CUST000073,Krishna Sharma,9814473947,N/A,282091, Agra ,Uttar Pradesh,2025-05-22,Unknown
CUST000074,Arjun Joshi,7258313237,manoj.desai378@outlook.com,734070,Siliguri,West Bengal,2024-02-06,Instagram Ads
CUST000075,Harpreet Chauhan,6251778528,diya.menon990@yahoo.com,570007,Mysuru,Karnataka,2024-01-29,Facebook Ads
CUST000076,Gurpreet Nair,8143842498,N/A,302079,Jaipur,Rajasthan,2025-03-08,Referral
CUST000077,Aditya Khan,7969078447,N/A,411007,Pune,Maharashtra,2025-11-10,Facebook Ads
CUST000078,Rohit Chatterjee,8625881537,N/A,700049,Kolkata,West Bengal,2024-05-21,Instagram Ads
CUST000079,Mohammed Reddy,9747016873,farhan.verma52@rediffmail.com,452083,Indore,Madhya Pradesh,2024-01-25,Referral
CUST000080,Priya Pillai,6609835841,vikas.menon564@rediffmail.com,600079,Chennai,Tamil Nadu,2025-09-17,Instagram Ads
CUST000081,Zoya Menon,6002578729,N/A,700078,Kolkata,West Bengal,2024-07-10,WhatsApp Reseller
CUST000082,Geeta Sheikh,6551694097,isha.naidu996@yahoo.com,380074,Ahmedabad,Gujarat,2024-08-05,WhatsApp Reseller
CUST000083,Riya Nair,6756263689,jaspreet.pillai64@yahoo.com,560071,Bengaluru,Karnataka,2025-09-03,Organic Search
CUST000084,Deepak Malhotra,8973348434,gurpreet.reddy707@outlook.com,842044,Muzaffarpur,Bihar,2025-08-08,Instagram Ads
CUST000085,Rajesh Ansari,9524041574,aadhya.reddy848@rediffmail.com,800089, Patna ,Bihar,2025-09-30,Facebook Ads
CUST000086,Kavita Nair,Missing,N/A,422098,Nashik,Maharashtra,2024-03-18,Organic Search
CUST000087,Sunita Chauhan,8540193802,diya.malhotra942@gmail.com,834050,Ranchi,Jharkhand,2023-08-17,Instagram Ads
CUST000088,Sneha Desai,8478872874,krishna.chatterjee167@outlook.com,440091,Nagpur,Maharashtra,2026-01-23,WhatsApp Reseller
CUST000089,Saanvi Patel,9685161227,myra.sharma268@outlook.com,682096,Kochi,Kerala,2023-12-19,Unknown
CUST000090,Priya Khan,6742684145,kiara.kumar490@yahoo.com,452077,Indore,Madhya Pradesh,2026-01-21,WhatsApp Reseller
CUST000091,Aadhya Menon,6878519108,N/A,831066,Jamshedpur,Jharkhand,2023-10-10,WhatsApp Reseller
CUST000092,Lakshmi Mishra,9790874064,N/A,506044,Warangal,Telangana,2025-10-31,Referral
CUST000093,Pooja Yadav,9567661825,rekha.banerjee542@yahoo.com,500028,Hyderabad,Telangana,2025-12-31,Organic Search
CUST000094,Rekha Yadav,7752431069,N/A,682004,Kochi,Kerala,2024-01-27,Facebook Ads
CUST000095,Vikas Nair,6284395995,rohit.ansari534@yahoo.com,440XX5,Nagpur,Maharashtra,2024-12-17,Unknown
CUST000096,Manoj Chauhan,9856624628,kiara.das879@yahoo.com,682007,Kochi,Kerala,2024-11-21,WhatsApp Reseller
CUST000097,Myra Iyer,8183046990,saanvi.naidu780@yahoo.com,141042,Ludhiana,Punjab,2024-12-31,Facebook Ads
CUST000098,Amit Chauhan,7638546785,zoya.rathore904@outlook.com,160092,Chandigarh,Chandigarh,2023-12-30,Instagram Ads
CUST000099,Aditya Desai,6489964235,rajesh.rao252@outlook.com,842087,Muzaffarpur,Bihar,2024-12-05,Unknown
CUST000100,Geeta Mishra,9280801006,N/A,834064, Ranchi ,Jharkhand,2024-01-06,Organic Search
CUST000101,Vivaan Sharma,6848408621,kavita.kumar247@yahoo.com,831032,Jamshedpur,Jharkhand,2024-09-20,Referral
CUST000102,Deepak Desai,6016668700,sai.chauhan866@outlook.com,713042,Asansol,West Bengal,2024-12-13,WhatsApp Reseller
CUST000103,Aadhya Agarwal,9401489025,aadhya.desai148@outlook.com,440038,Nagpur,Maharashtra,2025-06-11,Unknown
CUST000104,Ayesha Menon,6850163159,N/A,360034,Rajkot,Gujarat,2025-02-27,Instagram Ads
CUST000105,Ramesh Patel,6943114262,N/A,462039,Bhopal,Madhya Pradesh,2025-01-13,Facebook Ads
CUST000106,Ramesh Mishra,6015819956,suresh.banerjee798@gmail.com,122071,Gurugram,Haryana,2025-07-25,WhatsApp Reseller
CUST000107,Ayesha Patel,6264647154,harpreet.khan508@yahoo.com,302017,Jaipur,Rajasthan,2024-03-02,WhatsApp Reseller
CUST000108,Imran Mishra,7459375265,simran.khan503@yahoo.com,560035,Bengaluru,Karnataka,2023-11-01,WhatsApp Reseller
CUST000109,Rekha Patel,9374167243,N/A,313076,Udaipur,Rajasthan,2024-06-05,Unknown
CUST000110,Aditya Naidu,Check Number,ramesh.singh11@gmail.com,580065,Hubli,Karnataka,2024-07-25,WhatsApp Reseller
CUST000111,Zoya Banerjee,7507146112,imran.mishra804@yahoo.com,208044,Kanpur,Uttar Pradesh,2024-11-02,Organic Search
CUST000112,Sneha Verma,8123828258,deepak.nair817@outlook.com,842023,Muzaffarpur,Bihar,2025-11-25,Unknown
CUST000113,Vikas Desai,Missing,aadhya.reddy286@gmail.com,753068,Cuttack,Odisha,2025-07-14,Referral
CUST000114,Geeta Rathore,9969155792,gurpreet.naidu305@gmail.com,221040,Varanasi,Uttar Pradesh,2024-03-17,Instagram Ads
CUST000115,Lakshmi Banerjee,9627828274,mohammed.rao462@gmail.com,695001,Thiruvananthapuram,Kerala,2025-09-10,WhatsApp Reseller
CUST000116,Geeta Yadav,9721903404,pooja.patel800@outlook.com,380098,Ahmedabad,Gujarat,2024-04-04,WhatsApp Reseller
CUST000117,Sandeep Joshi,6783613407,sai.mishra887@gmail.com,160030,Chandigarh,Chandigarh,2025-05-03,Instagram Ads
